profile,engine,sessions,e1rm_start,e1rm_end,e1rm_change,weight_start,weight_end,weight_change,rate_kg_per_week,first_plateau_week,efficiency_mean,efficiency_end,efficiency_min,efficiency_max,pct_increase,pct_decrease,pct_hold,pct_increase_aggressive,pct_increase_success,pct_training_failure,direction_changes,volatility_kg,deload_streaks,max_deload_streak,overload_events,pct_overload,longest_nochange_sessions,stuck_sessions,pct_stuck,sharp_jumps,counterintuitive,pct_counterintuitive
Beginner · fast gainer,Bayesian,156,65.333,107.333,42.0,40.0,57.5,17.5,0.25,7.0,0.769,0.677,0.664,0.875,4.487,0.0,95.513,0.0,100.0,0.0,0,0.519,0,0,0,0.0,42,134,85.897,0,146,93.59
Beginner · fast gainer,Double Progression,156,65.333,109.333,44.0,40.0,80.0,40.0,0.627,2.667,0.948,0.941,0.778,0.987,12.179,1.923,85.897,10.526,89.474,5.769,6,0.906,0,1,0,0.0,16,127,81.41,0,0,0.0
Beginner · steady gainer,Bayesian,156,65.333,87.5,22.167,40.0,52.5,12.5,0.146,3.0,0.813,0.762,0.737,0.892,3.205,0.0,96.795,0.0,100.0,0.0,0,0.442,0,0,0,0.0,74,146,93.59,0,148,94.872
Beginner · steady gainer,Double Progression,156,65.333,88.833,23.5,40.0,65.0,25.0,0.335,2.667,0.951,0.943,0.778,0.988,8.974,2.564,88.462,28.571,71.429,11.538,8,0.837,0,1,0,0.0,25,131,83.974,0,0,0.0
Intermediate · fast gainer,Bayesian,156,89.833,123.25,33.417,55.0,72.5,17.5,0.249,1.333,0.801,0.722,0.72,0.889,4.487,0.0,95.513,0.0,100.0,0.0,0,0.519,0,0,0,0.0,44,142,91.026,0,146,93.59
Intermediate · fast gainer,Double Progression,156,89.833,123.5,33.667,55.0,95.0,40.0,0.582,8.0,0.951,0.947,0.799,0.986,11.538,1.282,87.179,22.222,77.778,5.769,4,0.86,0,1,0,0.0,18,124,79.487,0,0,0.0
Intermediate · steady gainer,Bayesian,156,89.833,105.75,15.917,55.0,67.5,12.5,0.163,1.333,0.837,0.795,0.793,0.889,3.205,0.0,96.795,0.0,100.0,0.0,0,0.442,0,0,0,0.0,75,143,91.667,0,148,94.872
Intermediate · steady gainer,Double Progression,156,89.833,107.25,17.417,55.0,82.5,27.5,0.318,3.0,0.955,0.972,0.799,0.986,8.974,1.923,89.103,14.286,85.714,8.974,6,0.809,0,1,0,0.0,28,132,84.615,0,0,0.0
Intermediate · slow gainer,Bayesian,156,88.0,97.5,9.5,55.0,65.0,10.0,0.108,1.333,0.863,0.854,0.796,0.898,2.564,0.0,97.436,0.0,100.0,0.0,0,0.396,0,0,0,0.0,106,143,91.667,0,149,95.513
Intermediate · slow gainer,Double Progression,156,88.0,97.5,9.5,55.0,75.0,20.0,0.148,5.0,0.954,0.986,0.799,0.986,7.692,2.564,89.744,33.333,66.667,14.744,8,0.793,0,1,0,0.0,33,137,87.821,0,0,0.0
Advanced · steady gainer,Bayesian,156,116.0,130.333,14.333,72.5,85.0,12.5,0.161,1.333,0.857,0.819,0.808,0.903,3.205,0.0,96.795,0.0,100.0,0.0,0,0.442,0,0,0,0.0,73,144,92.308,0,148,94.872
Advanced · steady gainer,Double Progression,156,116.0,130.0,14.0,72.5,100.0,27.5,0.311,3.0,0.956,0.964,0.813,0.983,8.974,1.923,89.103,14.286,85.714,9.615,6,0.809,0,1,0,0.0,35,137,87.821,0,0,0.0
Advanced · slow gainer,Bayesian,156,116.0,118.25,2.25,72.5,82.5,10.0,0.141,7.0,0.877,0.872,0.783,0.898,3.205,0.641,96.154,0.0,100.0,0.0,1,0.488,0,1,0,0.0,78,137,87.821,0,149,95.513
Advanced · slow gainer,Double Progression,156,116.0,117.0,1.0,72.5,90.0,17.5,0.127,3.667,0.957,0.951,0.813,0.984,6.41,1.923,91.667,40.0,60.0,12.179,5,0.715,0,1,0,0.0,57,144,92.308,0,0,0.0
Intermediate · plateaued,Bayesian,156,91.667,91.667,0.0,55.0,62.5,7.5,0.044,1.667,0.867,0.865,0.774,0.9,2.564,0.641,96.795,0.0,100.0,0.0,1,0.446,0,1,0,0.0,136,144,92.308,0,151,96.795
Intermediate · plateaued,Double Progression,156,91.667,91.0,-0.667,55.0,70.0,15.0,0.089,3.0,0.957,0.968,0.774,0.982,7.051,3.205,89.744,27.273,72.727,16.026,10,0.797,0,1,0,0.0,38,144,92.308,0,0,0.0
